,Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeResult,AwayResult,scoredhome,scoredaway,concededhome,concededaway,winshome,winsaway
192,02/01/12,QPR,Norwich,1,2,0.0,1.0,9,13,17,20,3.0,4.0
193,02/01/12,Wolves,Chelsea,1,2,0.0,1.0,14,16,17,9,4.0,6.5
194,03/01/12,Man City,Liverpool,3,0,1.0,0.0,31,10,4,10,10.0,5.5
195,03/01/12,Tottenham,West Brom,1,0,1.0,0.0,18,12,8,16,7.5,5.0
196,03/01/12,Wigan,Sunderland,1,4,0.0,1.0,10,13,20,12,3.0,4.0
197,04/01/12,Everton,Bolton,1,2,0.0,1.0,10,14,12,19,4.0,4.0
198,04/01/12,Newcastle,Man United,3,0,1.0,0.0,15,19,11,6,6.5,8.0
199,11/01/12,Tottenham,Everton,2,0,1.0,0.0,20,10,8,12,8.5,4.5
200,14/01/12,Aston Villa,Everton,1,1,0.5,0.5,12,11,14,13,4.5,5.0
201,14/01/12,Blackburn,Fulham,3,1,1.0,0.0,16,7,22,14,3.0,3.5
202,14/01/12,Chelsea,Sunderland,1,0,1.0,0.0,24,13,16,13,7.5,4.0
203,14/01/12,Liverpool,Stoke,0,0,0.5,0.5,14,8,8,20,7.5,5.0
204,14/01/12,Man United,Bolton,3,0,1.0,0.0,33,14,14,22,8.5,4.0
205,14/01/12,Tottenham,Wolves,1,1,0.5,0.5,21,9,9,20,9.0,3.0
206,14/01/12,West Brom,Norwich,1,2,0.0,1.0,8,15,14,21,3.0,5.0
207,15/01/12,Newcastle,QPR,1,0,1.0,0.0,16,10,11,19,7.5,3.5
208,15/01/12,Swansea,Arsenal,3,2,1.0,0.0,15,22,6,25,7.5,4.5
209,16/01/12,Wigan,Man City,0,1,0.0,1.0,10,26,21,12,3.0,7.5
210,21/01/12,Bolton,Liverpool,3,1,1.0,0.0,14,11,25,13,2.5,5.5
211,21/01/12,Everton,Blackburn,1,1,0.5,0.5,11,17,13,23,4.5,4.0
212,21/01/12,Fulham,Newcastle,5,2,1.0,0.0,21,16,17,19,6.5,5.5
213,21/01/12,Norwich,Chelsea,0,0,0.5,0.5,17,16,15,9,6.0,7.0
214,21/01/12,QPR,Wigan,3,1,1.0,0.0,12,9,18,24,4.0,3.0
215,21/01/12,Stoke,West Brom,1,2,0.0,1.0,15,14,13,17,6.0,6.0
216,21/01/12,Sunderland,Swansea,2,0,1.0,0.0,16,8,11,21,6.0,2.5
217,21/01/12,Wolves,Aston Villa,2,3,0.0,1.0,16,14,20,15,4.0,6.0
218,22/01/12,Arsenal,Man United,1,2,0.0,1.0,17,21,8,7,8.0,9.0
219,22/01/12,Man City,Tottenham,3,2,1.0,0.0,34,20,6,15,11.0,7.0
220,31/01/12,Everton,Man City,1,0,1.0,0.0,12,26,13,13,5.5,7.5
221,31/01/12,Man United,Stoke,2,0,1.0,0.0,35,8,14,22,9.5,5.0
222,31/01/12,Swansea,Chelsea,1,1,0.5,0.5,16,17,7,10,8.0,7.5
223,31/01/12,Tottenham,Wigan,3,1,1.0,0.0,24,10,10,27,10.0,3.0
224,31/01/12,Wolves,Liverpool,0,3,0.0,1.0,16,14,23,13,4.0,6.5
225,01/02/12,Aston Villa,QPR,2,2,0.5,0.5,14,12,16,21,5.0,4.0
226,01/02/12,Blackburn,Newcastle,0,2,0.0,1.0,16,18,24,19,3.0,6.5
227,01/02/12,Bolton,Arsenal,0,0,0.5,0.5,14,22,25,25,3.0,5.0
228,01/02/12,Fulham,West Brom,1,1,0.5,0.5,22,15,18,18,7.0,6.5
229,01/02/12,Sunderland,Norwich,3,0,1.0,0.0,19,15,11,24,7.0,5.0
230,04/02/12,Arsenal,Blackburn,7,1,1.0,0.0,24,18,9,30,9.0,4.0
231,04/02/12,Man City,Fulham,3,0,1.0,0.0,37,7,6,17,12.0,3.5
232,04/02/12,Norwich,Bolton,2,0,1.0,0.0,19,14,15,24,7.0,4.0
233,04/02/12,QPR,Wolves,1,2,0.0,1.0,13,11,20,21,4.0,4.0
234,04/02/12,Stoke,Sunderland,0,1,0.0,1.0,15,14,14,13,6.0,5.0
235,04/02/12,West Brom,Swansea,1,2,0.0,1.0,9,10,16,22,3.0,3.5
236,04/02/12,Wigan,Everton,1,1,0.5,0.5,11,12,22,14,3.5,5.5
237,05/02/12,Chelsea,Man United,3,3,0.5,0.5,27,24,19,10,8.0,9.5
238,05/02/12,Newcastle,Aston Villa,2,1,1.0,0.0,18,15,12,17,8.5,6.0
239,06/02/12,Liverpool,Tottenham,0,0,0.5,0.5,14,20,8,15,8.0,7.5
240,11/02/12,Blackburn,QPR,3,2,1.0,0.0,19,14,26,24,4.0,4.0
241,11/02/12,Bolton,Wigan,1,2,0.0,1.0,15,12,27,28,3.0,4.0
242,11/02/12,Everton,Chelsea,2,0,1.0,0.0,14,17,13,12,6.5,7.5
243,11/02/12,Fulham,Stoke,2,1,1.0,0.0,24,9,19,24,8.0,5.0
244,11/02/12,Man United,Liverpool,2,1,1.0,0.0,37,15,15,15,10.5,6.5
245,11/02/12,Sunderland,Arsenal,1,2,0.0,1.0,20,24,13,26,7.0,6.0
246,11/02/12,Swansea,Norwich,2,3,0.0,1.0,18,18,10,26,8.0,6.0
247,11/02/12,Tottenham,Newcastle,5,0,1.0,0.0,29,18,10,24,11.0,6.5
248,12/02/12,Aston Villa,Man City,0,1,0.0,1.0,14,27,17,13,5.0,8.5
249,12/02/12,Wolves,West Brom,1,5,0.0,1.0,17,20,28,19,4.0,7.5
250,25/02/12,Chelsea,Bolton,3,0,1.0,0.0,30,14,19,27,9.0,4.0
251,25/02/12,Man City,Blackburn,3,0,1.0,0.0,40,18,6,33,13.0,4.0
252,25/02/12,Newcastle,Wolves,2,2,0.5,0.5,20,13,14,23,9.0,4.5
253,25/02/12,QPR,Fulham,0,1,0.0,1.0,13,8,21,17,4.0,4.5
254,25/02/12,West Brom,Sunderland,4,0,1.0,0.0,13,14,16,17,4.0,5.0
255,25/02/12,Wigan,Aston Villa,0,0,0.5,0.5,11,15,22,17,4.0,6.5
256,26/02/12,Arsenal,Tottenham,5,2,1.0,0.0,29,22,11,20,10.0,7.5
257,26/02/12,Norwich,Man United,1,2,0.0,1.0,20,26,17,11,7.0,10.5
258,26/02/12,Stoke,Swansea,2,0,1.0,0.0,17,10,14,24,7.0,3.5
259,03/03/12,Blackburn,Aston Villa,1,1,0.5,0.5,20,16,27,18,4.5,7.0
260,03/03/12,Liverpool,Arsenal,1,2,0.0,1.0,15,26,10,27,8.0,7.0
261,03/03/12,Man City,Bolton,2,0,1.0,0.0,42,14,6,29,14.0,4.0
262,03/03/12,QPR,Everton,1,1,0.5,0.5,14,13,22,15,4.5,6.0
263,03/03/12,Stoke,Norwich,1,0,1.0,0.0,18,18,14,27,8.0,6.0
264,03/03/12,West Brom,Chelsea,1,0,1.0,0.0,14,17,16,13,5.0,7.5
265,03/03/12,Wigan,Swansea,0,2,0.0,1.0,11,12,24,24,4.0,4.5
266,04/03/12,Fulham,Wolves,5,0,1.0,0.0,29,13,19,28,9.0,4.5
267,04/03/12,Newcastle,Sunderland,1,1,0.5,0.5,21,15,15,18,9.5,5.5
268,04/03/12,Tottenham,Man United,1,3,0.0,1.0,30,29,13,12,11.0,11.5
269,10/03/12,Aston Villa,Fulham,1,0,1.0,0.0,15,8,17,18,6.0,4.5
270,10/03/12,Bolton,QPR,2,1,1.0,0.0,17,15,28,26,4.0,4.0
271,10/03/12,Chelsea,Stoke,1,0,1.0,0.0,31,9,19,25,10.0,5.0
272,10/03/12,Everton,Tottenham,1,0,1.0,0.0,15,22,13,21,7.5,7.5
273,10/03/12,Sunderland,Liverpool,1,0,1.0,0.0,21,15,13,16,8.0,6.5
274,10/03/12,Wolves,Blackburn,0,2,0.0,1.0,17,20,30,33,4.0,5.0
275,11/03/12,Man United,West Brom,2,0,1.0,0.0,39,20,15,21,11.5,7.5
276,11/03/12,Norwich,Wigan,1,1,0.5,0.5,21,13,18,29,7.5,4.5
277,11/03/12,Swansea,Man City,1,0,1.0,0.0,19,27,10,14,9.0,8.5
278,12/03/12,Arsenal,Newcastle,2,1,1.0,0.0,31,19,12,26,11.0,6.5
279,13/03/12,Liverpool,Everton,3,0,1.0,0.0,18,13,10,18,9.0,6.0
280,17/03/12,Fulham,Swansea,0,3,0.0,1.0,29,15,22,24,9.0,5.5
281,17/03/12,Wigan,West Brom,1,1,0.5,0.5,12,21,25,22,4.5,8.0
282,18/03/12,Newcastle,Norwich,1,0,1.0,0.0,22,18,15,28,10.5,6.0
283,18/03/12,Wolves,Man United,0,5,0.0,1.0,17,34,35,12,4.0,12.5
284,20/03/12,Blackburn,Sunderland,2,0,1.0,0.0,22,15,27,20,5.5,5.5
285,21/03/12,Everton,Arsenal,0,1,0.0,1.0,15,27,14,27,7.5,8.0
286,21/03/12,Man City,Chelsea,2,1,1.0,0.0,44,18,7,15,15.0,7.5
287,21/03/12,QPR,Liverpool,3,2,1.0,0.0,17,17,24,19,5.5,6.5
288,21/03/12,Tottenham,Stoke,1,1,0.5,0.5,31,10,14,26,11.5,5.5
289,24/03/12,Arsenal,Aston Villa,3,0,1.0,0.0,34,16,12,21,12.0,7.0
290,24/03/12,Bolton,Blackburn,2,1,1.0,0.0,19,21,29,35,5.0,5.0
291,24/03/12,Chelsea,Tottenham,0,0,0.5,0.5,31,22,19,21,10.5,8.0
292,24/03/12,Liverpool,Wigan,1,2,0.0,1.0,19,15,12,30,9.0,5.5
